# name|model|formula|expected_exit|expected_pattern

s_k_wait|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_k_wait.ltlk|1|Accepting cycle FOUND!
s_k_init|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_k_init.ltlk|0|Empty product with LTL!
s_k_eventually_done|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_k_eventually_done.ltlk|0|Empty product with LTL!
s_k_always_wait|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_k_always_wait.ltlk|1|Accepting cycle FOUND!
s_nested_k|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_nested_k.ltlk|1|Accepting cycle FOUND!
s_nested_k_temporal|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_nested_k_temporal.ltlk|0|Empty product with LTL!
s_obs_subset_basic|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_obs_subset_basic.ltlk|1|Accepting cycle FOUND!
s_obs_subset_nested|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_obs_subset_nested.ltlk|1|Accepting cycle FOUND!
s_obs_masked_temporal_demo|testsuite/check-LTLK/models/custom_obs_demo.dve|testsuite/check-LTLK/formulas/s_obs_masked_temporal_demo.ltlk|1|Accepting cycle FOUND!
s_labels_asymmetric_demo|testsuite/check-LTLK/models/label_seq_demo.dve|testsuite/check-LTLK/formulas/s_labels_asymmetric_demo.ltlk|1|Accepting cycle FOUND!
s_nested_label_knowledge|testsuite/check-LTLK/models/nested_knowledge_labels_demo.dve|testsuite/check-LTLK/formulas/s_nested_label_knowledge.ltlk|1|Accepting cycle FOUND!
s_past_once_origin|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_past_once_origin.ltlk|1|Accepting cycle FOUND!
s_past_nested_once_global|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_past_nested_once_global.ltlk|0|Empty product with LTL!
s_past_nested_since_global|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_past_nested_since_global.ltlk|0|Empty product with LTL!
s_mixed_past_future_once_eventually|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_mixed_past_future_once_eventually.ltlk|0|Empty product with LTL!
s_mixed_past_future_k_once_eventually|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/s_mixed_past_future_k_once_eventually.ltlk|1|Accepting cycle FOUND!

# Canonical paired examples (expected outcomes listed per case; not all pairs are strict logical negations)
c_epistemic_valid_no_cycle|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_epistemic_valid_no_cycle.ltlk|0|Empty product with LTL!
c_epistemic_invalid_accepting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_epistemic_invalid_accepting.ltlk|1|Accepting cycle FOUND!
c_future_valid_no_cycle|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_future_valid_no_cycle.ltlk|0|Empty product with LTL!
c_future_invalid_accepting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_future_invalid_accepting.ltlk|1|Accepting cycle FOUND!
c_past_valid_no_cycle|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_past_valid_no_cycle.ltlk|0|Empty product with LTL!
c_past_invalid_accepting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_past_invalid_accepting.ltlk|1|Accepting cycle FOUND!
c_combo_valid_no_cycle|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_combo_valid_no_cycle.ltlk|0|Empty product with LTL!
c_combo_invalid_accepting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_combo_invalid_accepting.ltlk|1|Accepting cycle FOUND!
c_partial_obs_valid_no_cycle|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_partial_obs_valid_no_cycle.ltlk|0|Empty product with LTL!
c_partial_obs_invalid_accepting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/c_partial_obs_invalid_accepting.ltlk|1|Accepting cycle FOUND!

# Epistemic axiom checks (all should hold: no accepting cycle)
ax_veridicality|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_veridicality.ltlk|0|Empty product with LTL!
ax_positive_introspection|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_positive_introspection.ltlk|0|Empty product with LTL!
ax_negative_introspection|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_negative_introspection.ltlk|0|Empty product with LTL!
ax_non_forgetting|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_non_forgetting.ltlk|0|Empty product with LTL!

# Epistemic axiom coverage expansion (agents, observability, and systems)
ax_v_simple_a0_obs|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_v_simple_a0_obs.ltlk|0|Empty product with LTL!
ax_v_anderson_a1_obs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/ax_v_anderson_a1_obs.ltlk|0|Empty product with LTL!
ax_v_custom_a0_obs|testsuite/check-LTLK/models/custom_obs_demo.dve|testsuite/check-LTLK/formulas/ax_v_custom_a0_obs.ltlk|0|Empty product with LTL!

ax_pi_simple_a1_obs|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_pi_simple_a1_obs.ltlk|0|Empty product with LTL!
ax_pi_anderson_a0_obs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/ax_pi_anderson_a0_obs.ltlk|0|Empty product with LTL!
ax_pi_custom_a0_obs|testsuite/check-LTLK/models/custom_obs_demo.dve|testsuite/check-LTLK/formulas/ax_pi_custom_a0_obs.ltlk|0|Empty product with LTL!

ax_ni_simple_a0_obs|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_ni_simple_a0_obs.ltlk|0|Empty product with LTL!
ax_ni_anderson_a1_obs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/ax_ni_anderson_a1_obs.ltlk|0|Empty product with LTL!
ax_ni_custom_a1_obs|testsuite/check-LTLK/models/custom_obs_demo.dve|testsuite/check-LTLK/formulas/ax_ni_custom_a1_obs.ltlk|0|Empty product with LTL!

ax_nf_simple_a1_obs|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/ax_nf_simple_a1_obs.ltlk|0|Empty product with LTL!
ax_nf_anderson_a1_obs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/ax_nf_anderson_a1_obs.ltlk|0|Empty product with LTL!
ax_nf_custom_a0_obs|testsuite/check-LTLK/models/custom_obs_demo.dve|testsuite/check-LTLK/formulas/ax_nf_custom_a0_obs.ltlk|0|Empty product with LTL!

a_k_ncs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/a_k_ncs.ltlk|0|Empty product with LTL!
a_k_eventually_cs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/a_k_eventually_cs.ltlk|0|Empty product with LTL!
a_nested_k_cs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/a_nested_k_cs.ltlk|1|Accepting cycle FOUND!
a_obs_subset_cs|examples/anderson.1.prop4.dve|testsuite/check-LTLK/formulas/a_obs_subset_cs.ltlk|1|Accepting cycle FOUND!

n_unsupported_e|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_unsupported_e.ltlk|255|supports only K_i\(phi\)
n_unsupported_c|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_unsupported_c.ltlk|255|supports only K_i\(phi\)
n_unsupported_d|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_unsupported_d.ltlk|255|supports only K_i\(phi\)
n_obs_unknown_var|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_obs_unknown_var.ltlk|255|unknown state variable
n_obs_bad_agent|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_obs_bad_agent.ltlk|255|out of range for agents
n_obs_bad_clause|examples/simple_ltlk.dve|testsuite/check-LTLK/formulas/n_obs_bad_clause.ltlk|255|expected vars\(\.\.\.\) or labels\(\.\.\.\)
